index,title,values
1.1.1,Sold by,PC Fallon Co.
1.2.1,Sold by,Walmart - Euro Pharm
1.3.1,Sold by,eBay - pharmacy1231
1.1.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
1.2.2,Details & special offers,Free delivery
1.3.2,Details & special offers,"Free delivery by Wed, May 18"
1.1.3,Item price,LOW PRICE$18.99
1.2.3,Item price,$21.99
1.3.3,Item price,$20.00
1.1.4,Total price,$25.94
1.2.4,Total price,$23.31
1.3.4,Total price,$21.20
2.1.1,Sold by,Vitabath
2.2.1,Sold by,PC Fallon Co.
2.3.1,Sold by,Walmart
2.4.1,Sold by,eBay
2.5.1,Sold by,truegether.com/user/433433.html
2.6.1,Sold by,Bonanza - Xperts-Bonanza Mall
2.7.1,Sold by,OliveTips.com
2.1.2,Details & special offers,Spend $65 for free delivery
2.2.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
2.3.2,Details & special offers,Free delivery
2.4.2,Details & special offers,$5.50 delivery
2.5.2,Details & special offers,Free delivery
2.6.2,Details & special offers,Free delivery
2.7.2,Details & special offers,"Free delivery by Mon, May 23"
2.1.3,Item price,LOW PRICE$9.25
2.2.3,Item price,LOW PRICE$8.99
2.3.3,Item price,$18.24
2.4.3,Item price,$14.80
2.5.3,Item price,$16.65
2.6.3,Item price,$16.99
2.7.3,Item price,$27.83
2.1.4,Total price,$19.20
2.2.4,Total price,$15.94
2.3.4,Total price,$19.33
2.4.4,Total price,$21.19
2.5.4,Total price,$16.65
2.6.4,Total price,$18.01
2.7.4,Total price,$27.83
3.1.1,Sold by,PC Fallon Co.
3.2.1,Sold by,Walmart - Euro Pharm
3.3.1,Sold by,eBay
3.4.1,Sold by,ihealthee
3.1.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
3.2.2,Details & special offers,Free delivery
3.3.2,Details & special offers,$1.89 delivery
3.4.2,Details & special offers,Free delivery
3.1.3,Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$28.05"
3.2.3,Item price,$33.00
3.3.3,Item price,$31.99
3.4.3,Item price,$46.39
3.1.4,Total price,$36.00
3.2.4,Total price,$34.98
3.3.4,Total price,$35.80
3.4.4,Total price,$49.17
4.1.1,Sold by,Vitabath
4.2.1,Sold by,Walmart - Euro Pharm
4.3.1,Sold by,PC Fallon Co.
4.4.1,Sold by,eBay
4.5.1,Sold by,pilottop.com
4.6.1,Sold by,iBeautyCity.com
4.7.1,Sold by,ibeautistore
4.1.2,Details & special offers,Spend $65 for free delivery
4.2.2,Details & special offers,Free delivery
4.3.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
4.4.2,Details & special offers,"Free delivery by Wed, May 18"
4.5.2,Details & special offers,"Free delivery by Thu, May 19Free 30-day returns"
4.6.2,Details & special offers,"Free delivery by Sun, May 22"
4.7.2,Details & special offers,"Free delivery by Sun, May 22"
4.1.3,Item price,LOW PRICE$9.25
4.2.3,Item price,$11.99
4.3.3,Item price,LOW PRICE$8.99
4.4.3,Item price,$11.99
4.5.3,Item price,$22.06
4.6.3,Item price,$33.65
4.7.3,Item price,$22.06
4.1.4,Total price,$19.20
4.2.4,Total price,$12.71
4.3.4,Total price,$15.94
4.4.4,Total price,$12.71
4.5.4,Total price,$22.06
4.6.4,Total price,$33.65
4.7.4,Total price,$22.06
5.1.1,Sold by,Vitabath
5.2.1,Sold by,Walmart - Euro Pharm
5.3.1,Sold by,eBay
5.4.1,Sold by,truegether.com/user/433433.html
5.5.1,Sold by,Bonanza - Xperts-Bonanza Mall
5.1.2,Details & special offers,Spend $65 for free delivery
5.2.2,Details & special offers,Free delivery
5.3.2,Details & special offers,"Free delivery by Wed, May 18"
5.4.2,Details & special offers,Free delivery
5.5.2,Details & special offers,Free delivery
5.1.3,Item price,$9.25
5.2.3,Item price,$24.00
5.3.3,Item price,$23.95
5.4.3,Item price,$23.51
5.5.3,Item price,$23.99
5.1.4,Total price,$19.20
5.2.4,Total price,$25.44
5.3.4,Total price,$25.39
5.4.4,Total price,$23.51
5.5.4,Total price,$25.43
6.1.1,Sold by,PC Fallon Co.
6.2.1,Sold by,Walmart - Euro Pharm
6.3.1,Sold by,eBay
6.4.1,Sold by,truegether.com/user/433433.html
6.5.1,Sold by,Bonanza - Xperts-Bonanza Mall
6.1.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
6.2.2,Details & special offers,Free delivery
6.3.2,Details & special offers,"Free delivery by Wed, May 18"
6.4.2,Details & special offers,Free delivery
6.5.2,Details & special offers,Free delivery
6.1.3,Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$28.05"
6.2.3,Item price,$33.00
6.3.3,Item price,$28.89
6.4.3,Item price,$36.25
6.5.3,Item price,$36.99
6.1.4,Total price,$36.00
6.2.4,Total price,$34.98
6.3.4,Total price,$30.62
6.4.4,Total price,$36.25
6.5.4,Total price,$39.21
7.1.1,Sold by,Walmart - Euro Pharm
7.2.1,Sold by,PC Fallon Co.
7.3.1,Sold by,truegether.com/user/433433.html
7.4.1,Sold by,eBay
7.5.1,Sold by,Bonanza - Xperts-Bonanza Mall
7.6.1,Sold by,Zabiva.com
7.7.1,Sold by,Newegg.com - Famous Microgreens
7.8.1,Sold by,iBeautyCity.com
7.1.2,Details & special offers,Free delivery
7.2.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
7.3.2,Details & special offers,Free delivery
7.4.2,Details & special offers,"Free delivery by Wed, May 18"
7.5.2,Details & special offers,Free delivery
7.6.2,Details & special offers,Free deliveryApply SAVE22
7.7.2,Details & special offers,Free delivery
7.8.2,Details & special offers,"Free delivery by Sun, May 22"
7.1.3,Item price,$33.00
7.2.3,Item price,LOW PRICE$28.05
7.3.3,Item price,$36.25
7.4.3,Item price,$36.99
7.5.3,Item price,$36.99
7.6.3,Item price,5% OFF$38.91
7.7.3,Item price,$43.00
7.8.3,Item price,$54.91
7.1.4,Total price,$34.98
7.2.4,Total price,$36.00
7.3.4,Total price,$36.25
7.4.4,Total price,$39.21
7.5.4,Total price,$39.21
7.6.4,Total price,$41.24
7.7.4,Total price,$45.58
7.8.4,Total price,$54.91
8.1.1,Sold by,Vitabath
8.2.1,Sold by,PC Fallon Co.
8.1.2,Details & special offers,Spend $65 for free delivery
8.2.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
8.1.3,Item price,$9.25
8.2.3,Item price,$8.99
8.1.4,Total price,$19.20
8.2.4,Total price,$15.94
9.1.1,Sold by,PC Fallon Co.
9.2.1,Sold by,eCrater - xpertsedge
9.3.1,Sold by,eBay - 433433
9.4.1,Sold by,VereTreasure Supermarket
9.5.1,Sold by,truegether.com/user/433433.html
9.1.2,Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
9.2.2,Details & special offers,Free delivery
9.3.2,Details & special offers,"Free delivery by Wed, May 18"
9.4.2,Details & special offers,"Free delivery by Mon, May 16Free 30-day returns"
9.5.2,Details & special offers,Free delivery
9.1.3,Item price,LOW PRICE$8.99
9.2.3,Item price,$13.99
9.3.3,Item price,$16.99
9.4.3,Item price,$20.51
9.5.3,Item price,$16.65
9.1.4,Total price,$15.94
9.2.4,Total price,$13.99
9.3.4,Total price,$18.01
